Relay URL,Latitude,Longitude,Geohash
nostr.bilthon.dev,25.8130,-80.2320,dhwfy70
nostr.makibisskey.work,37.7621,-122.3971,9q8yyf3
relay.mattybs.lol,37.7621,-122.3971,9q8yyf3
noxir.kpherox.dev,34.8436,135.5084,xn0q5x4
sendit.nosflare.com,37.7621,-122.3971,9q8yyf3
relay.coinos.io,37.7621,-122.3971,9q8yyf3
relay.nostraddress.com,37.7621,-122.3971,9q8yyf3
wot.nostr.party,36.1659,-86.7844,dn6m9pv
nostrelites.org,41.8500,-87.6500,dp3wj6x
relay.nostriot.com,43.7064,-79.3986,dpz89hx
prl.plus,55.7522,37.6156,ucftpvq
zap.watch,45.5088,-73.5878,f25dvkw
wot.codingarena.top,50.4779,12.3713,u2bz1t0
nostr.azzamo.net,52.2284,21.0522,u3qcp5c
wot.sudocarlos.com,43.7064,-79.3986,dpz89hx
relay.lnfi.network,45.6241,8.7851,u0n5xct
wot.nostr.net,37.7621,-122.3971,9q8yyf3
relay.nostrdice.com,-33.8678,151.2073,r3gx2f9
wot.sebastix.social,51.3700,6.1681,u1hkhre
wheat.happytavern.co,37.7621,-122.3971,9q8yyf3
relay.sigit.io,50.4779,12.3713,u2bz1t0
strfry.bonsai.com,37.8716,-122.2728,9q9p3w7
travis-shears-nostr-relay-v2.fly.dev,41.8119,-87.6873,dp3tues
satsage.xyz,37.3924,-121.9623,9q9k8xj
relay.degmods.com,50.4779,12.3713,u2bz1t0
nostr.community.ath.cx,45.5088,-73.5878,f25dvkw
nostr.coincrowd.fund,39.0437,-77.4875,dqbyhex
strfry.shock.network,41.8847,-88.2040,dp3q2bg
cyberspace.nostr1.com,40.7143,-74.0060,dr5regy
relay02.lnfi.network,39.0997,-94.5786,9yuwrvc
nostr-rs-relay.dev.fedibtc.com,39.0437,-77.4875,dqbyhex
relay.davidebtc.me,50.1155,8.6842,u0yjje5
wot.dtonon.com,37.7621,-122.3971,9q8yyf3
relay.goodmorningbitcoin.com,37.7621,-122.3971,9q8yyf3
articles.layer3.news,37.3394,-121.8950,9q9k6jq
bostr.syobon.net,37.7621,-122.3971,9q8yyf3
nostr.agentcampfire.com,52.3740,4.8897,u173zq2
nostr.thebiglake.org,32.7244,-96.6755,9vg60j7
schnorr.me,37.7621,-122.3971,9q8yyf3
relay.wolfcoil.com,35.6090,139.7302,xn76edk
nostr.camalolo.com,24.1469,120.6839,wsmc65z
nostr.tac.lol,47.4740,-122.2610,c23n1fk
dev-relay.lnfi.network,39.0997,-94.5786,9yuwrvc
relay.bitcoinveneto.org,64.1355,-21.8954,ge2kvg8
nostr.red5d.dev,37.7621,-122.3971,9q8yyf3
relay-testnet.k8s.layer3.news,37.3394,-121.8950,9q9k6jq
promenade.fiatjaf.com,50.1155,8.6842,u0yjje5
nostrelay.memory-art.xyz,37.7621,-122.3971,9q8yyf3
inbox.azzamo.net,52.2284,21.0522,u3qcp5c
social.proxymana.net,60.1695,24.9354,ud9wr3t
relay.netstr.io,53.3331,-6.2489,gc7x3uc
premium.primal.net,37.7621,-122.3971,9q8yyf3
nostr.lojong.info,37.7621,-122.3971,9q8yyf3
nostr-rs-relay-ishosta.phamthanh.me,37.7621,-122.3971,9q8yyf3
relay.stream.labs.h3.se,59.3294,18.0687,u6sce0t
tollbooth.stens.dev,51.4566,7.0123,u1huxx6
relay.chakany.systems,37.7621,-122.3971,9q8yyf3
relay.mwaters.net,50.9519,1.8563,u113f5x
nostr-relay.shirogaku.xyz,37.7621,-122.3971,9q8yyf3
kitchen.zap.cooking,37.7621,-122.3971,9q8yyf3
relay.arx-ccn.com,50.4779,12.3713,u2bz1t0
relay.fr13nd5.com,50.1155,8.6842,u0yjje5
nostr.tegila.com.br,39.0437,-77.4875,dqbyhex
relay.jeffg.fyi,43.7064,-79.3986,dpz89hx
relay.bullishbounty.com,37.7621,-122.3971,9q8yyf3
nostr.spicyz.io,37.7621,-122.3971,9q8yyf3
relay04.lnfi.network,39.0997,-94.5786,9yuwrvc
vidono.apps.slidestr.net,48.8534,2.3488,u09tvmq
relay03.lnfi.network,39.0997,-94.5786,9yuwrvc
communities.nos.social,40.8344,-74.1377,dr722cw
relay.evanverma.com,40.8344,-74.1377,dr722cw
nostrelay.circum.space,51.4566,7.0123,u1huxx6
wot.brightbolt.net,47.6928,-116.7850,c2kzq6p
relayrs.notoshi.win,37.7621,-122.3971,9q8yyf3
fenrir-s.notoshi.win,37.7621,-122.3971,9q8yyf3
relay.nsnip.io,60.1695,24.9354,ud9wr3t
x.kojira.io,37.7621,-122.3971,9q8yyf3
relay.hasenpfeffr.com,39.0437,-77.4875,dqbyhex
relay01.lnfi.network,39.0997,-94.5786,9yuwrvc
nostr.rtvslawenia.com,49.4542,11.0775,u0zck4f
relay.g1sms.fr,43.9298,2.1480,spc9bvh
nostr.kalf.org,52.3740,4.8897,u173zq2
nostr.rblb.it,37.7621,-122.3971,9q8yyf3
nostr.4rs.nl,49.4453,11.0222,u0zc6c4
relay.vrtmrz.net,37.7621,-122.3971,9q8yyf3
nostr.hoppe-relay.it.com,45.5946,-121.1787,c21g6s0
relay-rpi.edufeed.org,49.4453,11.0222,u0zc6c4
relay.copylaradio.com,50.7990,-1.0913,gcp0zpt
relay.ru.ac.th,13.7540,100.5014,w4rqnzy
relay.bitcoinartclock.com,50.4779,12.3713,u2bz1t0
wot.downisontheup.ca,47.6062,-122.3321,c23nb62
nostr.coincards.com,43.7064,-79.3986,dpz89hx
relay.etch.social,41.2619,-95.8608,9z7fdxk
relay.mess.ch,47.1345,9.0964,u0qknux
relay.holzeis.me,37.7621,-122.3971,9q8yyf3
relay-admin.thaliyal.com,40.8220,-74.4488,dr701zk
nostr.thaliyal.com,40.8220,-74.4488,dr701zk
strfry.felixzieger.de,50.1025,8.6299,u0yjh2u
nostr.smut.cloud,37.7621,-122.3971,9q8yyf3
r.bitcoinhold.net,37.7621,-122.3971,9q8yyf3
nostr.blankfors.se,60.1695,24.9354,ud9wr3t
portal-relay.pareto.space,49.4453,11.0222,u0zc6c4
relay.getsafebox.app,43.7064,-79.3986,dpz89hx
relay.anzenkodo.workers.dev,37.7621,-122.3971,9q8yyf3
relay.nostrhub.tech,49.4453,11.0222,u0zc6c4
nostr.prl.plus,52.3740,4.8897,u173zq2
nostr-2.21crypto.ch,46.5160,6.6328,u0k8wgv
nostr.zenon.network,40.7143,-74.0060,dr5regy
nostr-relay.amethyst.name,35.7721,-78.6386,dq25d81
relayone.geektank.ai,17.1210,-61.8433,deh12sz
fanfares.nostr1.com,40.7143,-74.0060,dr5regy
wot.geektank.ai,17.1210,-61.8433,deh12sz
relay-dev.satlantis.io,40.8344,-74.1377,dr722cw
relay.siamdev.cc,13.9178,100.4240,w4rrjjw
relay.nosto.re,51.3700,6.1681,u1hkhre
wot.soundhsa.com,39.0997,-94.5786,9yuwrvc
nostr.n7ekb.net,47.5707,-122.2221,c23ndgb
relayone.soundhsa.com,39.0997,-94.5786,9yuwrvc
relay.puresignal.news,37.7621,-122.3971,9q8yyf3
relay.nostx.io,37.7621,-122.3971,9q8yyf3
nostr.now,35.6090,139.7302,xn76edk
relay.artiostr.ch,37.7621,-122.3971,9q8yyf3
relay.oldenburg.cool,50.1155,8.6842,u0yjje5
theoutpost.life,64.1355,-21.8954,ge2kvg8
khatru.nostrver.se,51.3700,6.1681,u1hkhre
relay.wavefunc.live,37.7915,-122.4018,9q8yyxt
nostr-relay.zimage.com,34.0522,-118.2437,9q5ctr1
relay.javi.space,43.4628,11.8807,sr8rq25
bostr.shop,42.8865,-78.8784,dpxgvp4
relay.letsfo.com,52.2298,21.0118,u3qcnhh
alien.macneilmediagroup.com,37.7621,-122.3971,9q8yyf3
rn1.sotiras.org,37.7621,-122.3971,9q8yyf3
gnostr.com,42.6975,23.3241,sx8dfub
relay.conduit.market,37.7621,-122.3971,9q8yyf3
relay.hivetalk.org,37.3924,-121.9623,9q9k8xj
nostr.l484.com,30.2960,-97.6396,9v6s65j
relay.chorus.community,50.1155,8.6842,u0yjje5
nostr-relay.moe.gift,37.7621,-122.3971,9q8yyf3
relay.nostrcal.com,37.7621,-122.3971,9q8yyf3
temp.iris.to,37.7621,-122.3971,9q8yyf3
librerelay.aaroniumii.com,37.7621,-122.3971,9q8yyf3
nostr-relay-1.trustlessenterprise.com,37.7621,-122.3971,9q8yyf3
relay.barine.co,37.7621,-122.3971,9q8yyf3
nostr.rohoss.com,48.1374,11.5755,u281z7j
wot.nostr.place,30.2672,-97.7431,9v6kpvc
relay.utxo.farm,34.7331,135.8183,xn0tddg
relay.bankless.at,37.7621,-122.3971,9q8yyf3
relay.toastr.net,40.8043,-74.0121,dr725u4
nostr.excentered.com,52.5244,13.4105,u33dc1v
relay.mccormick.cx,52.3740,4.8897,u173zq2
relay.cypherflow.ai,48.8534,2.3488,u09tvmq
relay.laantungir.net,45.3134,-73.8725,f253ycp
nostr.veladan.dev,37.7621,-122.3971,9q8yyf3
nostr.tadryanom.me,37.7621,-122.3971,9q8yyf3
nostr-relay.online,37.7621,-122.3971,9q8yyf3
nostr.night7.space,50.4779,12.3713,u2bz1t0
dev-nostr.bityacht.io,25.0531,121.5264,wsqqt2u
