Relay URL,Latitude,Longitude
nostr.sathoarder.com,48.5734,7.75211
okn.czas.plus,50.1109,8.68213
relay.gobrrr.me,48.3523,15.7596
r.bitcoinhold.net,43.6532,-79.3832
relay.lanavault.space,60.1699,24.9384
nos.lol,50.4754,12.3683
x.kojira.io,43.6532,-79.3832
relay.mmwaves.de,48.8575,2.35138
toby.nettek.io,39.1429,-94.573
relay.nostu.be,40.4167,-3.70329
relay2.ngengine.org,43.6532,-79.3832
relay.angor.io,48.1046,11.6002
relay.bnos.space,43.6532,-79.3832
purplerelay.com,50.1109,8.68213
srtrelay.c-stellar.net,43.6532,-79.3832
relay.nostrhub.tech,49.0291,8.35696
nostr.vulpem.com,49.4543,11.0746
relay.binaryrobot.com,43.6532,-79.3832
nostr-relay.online,43.6532,-79.3832
pyramid.aaro.cc,34.0549,-118.243
testnet-relay.samt.st,40.8302,-74.1299
inbox.azzamo.net,52.2633,21.0283
relay.bitcoinartclock.com,50.4754,12.3683
nostr.n7ekb.net,36.1527,-95.9902
nostrcity-club.fly.dev,48.8575,2.35138
relay.arx-ccn.com,50.4754,12.3683
relay-dev.gulugulu.moe,43.6532,-79.3832
relay.toastr.net,40.8054,-74.0241
relay.damus.io,43.6532,-79.3832
wot.sudocarlos.com,43.6532,-79.3832
orangepiller.org,60.1699,24.9384
librerelay.aaroniumii.com,43.6532,-79.3832
cyberspace.nostr1.com,38.6327,-90.1961
testorly.nosfabrica.com,37.3986,-121.964
treuzkas.branruz.com,48.8575,2.35138
nostr-relay.amethyst.name,39.0067,-77.4291
relay.xavierdamman.com,49.4543,11.0746
nostr.rblb.it:7777,43.7094,10.6582
nostr-01.yakihonne.com,1.29524,103.79
relay.mwaters.net,50.9871,2.12554
wot.nostr.party,36.1627,-86.7816
relay5.bitransfer.org,43.6532,-79.3832
antiprimal.net,43.6532,-79.3832
relay.internationalright-wing.org,-22.5022,-48.7114
nostr.bond,50.1109,8.68213
relay.nostriot.com,41.5695,-83.9786
nostr-relay.zeabur.app,25.0797,121.234
relay.uid.ovh,43.6532,-79.3832
relay.sigit.io,50.4754,12.3683
nostr.calitabby.net,47.6743,-117.112
premium.primal.net,43.6532,-79.3832
temp.iris.to,43.6532,-79.3832
public.crostr.com,43.6532,-79.3832
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
relay.mostro.network,40.8302,-74.1299
relay.sharegap.net,43.6532,-79.3832
khatru.nostrver.se,51.1792,5.89444
relay.illuminodes.com,47.6062,-122.332
nostr.thebiglake.org,32.71,-96.6745
relayone.geektank.ai,39.1008,-94.5811
nostr.parallel.hetu.org:8443,1.35208,103.82
relay.contextvm.org,53.3498,-6.26031
nostr.luisschwab.net,43.6532,-79.3832
relay.eikeon.com,39.0438,-77.4874
nostr.rblb.it,43.7094,10.6582
relay.chakany.systems,43.6532,-79.3832
relay2.angor.io,48.1046,11.6002
nostr.faultables.net,43.6532,-79.3832
r.alphaama.com,60.1699,24.9384
relay-dev.satlantis.io,40.8302,-74.1299
wot.dergigi.com,64.1476,-21.9392
notemine.io,52.2026,20.9397
nostr.ps1829.com,33.8851,130.883
nostr.2b9t.xyz,34.0549,-118.243
relay.chorus.community,50.1109,8.68213
ynostr.yael.at,60.1699,24.9384
relay-freeharmonypeople.space,38.7223,-9.13934
relay.nostrverse.net,43.6532,-79.3832
nostr.chaima.info,50.1109,8.68213
nostr.red5d.dev,43.6532,-79.3832
relay.decentnewsroom.com,50.4754,12.3683
nostr.islandarea.net,35.4669,-97.6473
nostr.robosats.org,64.1476,-21.9392
nostr-dev.wellorder.net,45.5201,-122.99
nostr.notribe.net,40.8302,-74.1299
nostr2.girino.org,43.6532,-79.3832
relay.nostrhub.fr,48.1045,11.6004
nostr-02.czas.top,51.2277,6.77346
relay.orangepill.ovh,49.1689,-0.358841
ithurtswhenip.ee,51.223,6.78245
relay.lightning.pub,39.0438,-77.4874
relay.wellorder.net,45.5201,-122.99
relay.nostr.wirednet.jp,34.706,135.493
yabu.me,35.6092,139.73
nostr.overmind.lol,43.6532,-79.3832
relay.bithome.site,52.3563,4.95714
relay.tagayasu.xyz,45.4215,-75.6972
relay-arg.zombi.cloudrodion.com,43.2965,5.36978
wot.dtonon.com,43.6532,-79.3832
relay.puresignal.news,43.6532,-79.3832
orly.musiquay.org,43.6532,-79.3832
relay.cyphernomad.com,60.1699,24.9384
myvoiceourstory.org,37.3598,-121.981
relay-testnet.k8s.layer3.news,37.3387,-121.885
nostr.data.haus,50.4754,12.3683
relay.fountain.fm,43.6532,-79.3832
santo.iguanatech.net,40.8302,-74.1299
wot.sovbit.host,64.1466,-21.9426
relay.laantungir.net,-19.4692,-42.5315
relay.klabo.world,47.2343,-119.853
nostr-relayrs.gateway.in.th,15.5163,103.194
bucket.coracle.social,37.7775,-122.397
nostr.noones.com,50.1109,8.68213
relay.primal.net,43.6532,-79.3832
relay.artx.market,43.652,-79.3633
nostr.casa21.space,43.6532,-79.3832
relay.agora.social,50.7383,15.0648
nostr.blankfors.se,60.1699,24.9384
relay.comcomponent.com,34.7062,135.493
relay.satmaxt.xyz,43.6532,-79.3832
nostr-02.yakihonne.com,1.32123,103.695
relay.malxte.de,52.52,13.405
relay.21e6.cz,50.7383,15.0648
relay.minibolt.info,43.6532,-79.3832
relay.magiccity.live,25.7975,-80.23
wot.nostr.net,43.6532,-79.3832
nostr.carroarmato0.be,51.0368,3.21186
relay.gulugulu.moe,43.6532,-79.3832
relay.wavlake.com,41.2619,-95.8608
relay.visionfusen.org,43.6532,-79.3832
nostr.nodesmap.com,59.3327,18.0656
nostr.tadryanom.me,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
relay.seq1.net,43.6532,-79.3832
nostr.oxtr.dev,50.4754,12.3683
nostr-pub.wellorder.net,45.5201,-122.99
soloco.nl,43.6532,-79.3832
relay.camelus.app,45.5201,-122.99
czas.xyz,60.1699,24.9384
relay.threenine.services,51.5222,-0.62916
relay.og.coop,43.6532,-79.3832
r.0kb.io,32.789,-96.7989
relay.nostrdice.com,-33.8688,151.209
nostr-relay.aruku.kro.kr,37.3589,127.115
relay.lumina.rocks,49.0291,8.35695
relay.ngengine.org,43.6532,-79.3832
ribo.eu.nostria.app,52.3676,4.90414
relay.snotr.nl:49999,52.0195,4.42946
relay.goodmorningbitcoin.com,43.6532,-79.3832
wot.brightbolt.net,47.6732,-117.239
nostr.mikoshi.de,50.1109,8.68213
relay.nostrops.com,33.7584,-84.6375
relay.davidebtc.me,43.6532,-79.3832
relay.satnam.pub,43.6532,-79.3832
chat-relay.zap-work.com,43.6532,-79.3832
nostr.okienko.live,50.1109,8.68213
wot.soundhsa.com,33.1384,-95.6011
relayone.soundhsa.com,33.1384,-95.6011
relay.bitcoindistrict.org,43.6532,-79.3832
strfry.bonsai.com,37.8715,-122.273
aaa-api.freefrom.space/v1/ws,43.6532,-79.3832
nostr.snowbla.de,60.1699,24.9384
nostrcheck.me,43.6532,-79.3832
relay.snort.social,53.3498,-6.26031
nostr-verified.wellorder.net,45.5201,-122.99
nostr.openhoofd.nl,51.9229,4.40833
nostr.spicyz.io,43.6532,-79.3832
schnorr.me,43.6532,-79.3832
nostr-relay.cbrx.io,43.6532,-79.3832
relay.getsafebox.app,43.6532,-79.3832
relay.wavefunc.live,34.0362,-118.443
satsage.xyz,37.3986,-121.964
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relay.vantis.ninja,43.6532,-79.3832
relay.olas.app,50.4754,12.3683
relay.bitmacro.pro,43.6532,-79.3832
relay.siamdev.cc,13.8434,100.363
relay.mccormick.cx,52.3563,4.95714
relay.jeffg.fyi,43.6532,-79.3832
nostr.dpinkerton.com,39.1008,-94.5811
nostr-relay.nextblockvending.com,47.2343,-119.853
bitsat.molonlabe.holdings,51.4012,-1.3147
lightning.red,53.3498,-6.26031
goskatespots.nostr1.com,38.6327,-90.1961
relay.satlantis.io,32.8769,-80.0114
relay.npubhaus.com,43.6532,-79.3832
nostr.hifish.org,47.4244,8.57658
relay02.lnfi.network,35.6764,139.65
freelay.sovbit.host,64.1476,-21.9392
wheat.happytavern.co,43.6532,-79.3832
strfry.openhoofd.nl,51.9229,4.40833
relay.ru.ac.th,13.7607,100.627
nostr.self-determined.de,54.5847,10.0178
relay.routstr.com,43.6532,-79.3832
nostr.tuckerbradford.com,43.6708,-70.2844
nostr-relay.gateway.in.th,15.5163,103.194
relay.evanverma.com,40.8302,-74.1299
nostrcheck.tnsor.network,43.6532,-79.3832
relay.smies.me,33.7501,-84.3885
nostr.mom,50.4754,12.3683
strfry.ymir.cloud,39.7392,-104.99
nostr.nadajnik.org,50.1109,8.68213
relay.wayback.st,45.4337,9.09221
relay-rpi.edufeed.org,49.4521,11.0767
relay.nostr-check.me,43.6532,-79.3832
relay.nostr.place,32.7767,-96.797
nostr.jerrynya.fun,31.2304,121.474
nostriches.club,43.6532,-79.3832
bcast.girino.org,43.6532,-79.3832
relay.orly.dev,32.7767,-96.797
relay.layer.systems,49.0291,8.35695
relay.btcforplebs.com,43.6532,-79.3832
zg0vtbriqdog7.clorecloud.net,43.6532,-79.3832
spookstr2.nostr1.com,38.6327,-90.1961
strfry.felixzieger.de,50.1013,8.62643
relay.cathouse-propeller.com,45.4337,9.09221
relay.fr13nd5.com,52.5233,13.3426
nostr.zoracle.org,45.6018,-121.185
articles.layer3.news,37.3387,-121.885
social.amanah.eblessing.co,48.1046,11.6002
wot.codingarena.top,50.4754,12.3683
theoutpost.life,64.1476,-21.9392
relay.degmods.com,50.4754,12.3683
nostr.plantroon.com,50.1013,8.62643
discovery.us.nostria.app,52.3676,4.90414
relay.endfiat.money,43.6532,-79.3832
testrelay.era21.space,43.6532,-79.3832
nostr-relay.zimage.com,34.0549,-118.243
relayrs.notoshi.win,43.6532,-79.3832
relay.nosto.re,51.1792,5.89444
nostrelay.circum.space,52.3676,4.90414
nostr-relay.psfoundation.info,39.0438,-77.4874
nostr.quali.chat,60.1699,24.9384
relay.bitmacro.cloud,43.6532,-79.3832
relay01.lnfi.network,35.6764,139.65
relay.libernet.app,43.6532,-79.3832
relay.plebeian.market,50.1109,8.68213
wot.shaving.kiwi,43.6532,-79.3832
relay.bao.network,49.4543,11.0746
relay.guggero.org,46.0037,8.95105
nostrelites.org,41.8781,-87.6298
relay.mostr.pub,43.6532,-79.3832
nostr.myshosholoza.co.za,52.3676,4.90414
relay.apps.prod.aws.ocp.signet.ing,45.5152,-122.678
strfry.apps3.slidestr.net,40.4167,-3.70329
nostr.girino.org,43.6532,-79.3832
fanfares.nostr1.com,38.6327,-90.1961
api.freefrom.space/v1/ws,43.6532,-79.3832
wot.nostr.place,32.7767,-96.797
nostr-03.dorafactory.org,1.35208,103.82
relay.credenso.cafe,43.3601,-80.3127
